,,,,,,,OVO Extended Fixed 15M + Heat Pump Plus,OVO Extended Fixed 15M + Heat Pump Plus,OVO Extended Fixed 15M + Heat Pump Plus,OVO Extended Fixed 15M + Heat Pump Plus,OVO Extended Fixed 15M + Heat Pump Plus,OVO Extended Fixed 15M + Heat Pump Plus,OVO 1 Year Fixed + Heat Pump Plus,OVO 1 Year Fixed + Heat Pump Plus,OVO 1 Year Fixed + Heat Pump Plus,OVO 1 Year Fixed + Heat Pump Plus,OVO 1 Year Fixed + Heat Pump Plus,OVO 1 Year Fixed + Heat Pump Plus,OVO 1 Year Fixed + Greener Electricity + Heat Pump Plus,OVO 1 Year Fixed + Greener Electricity + Heat Pump Plus,OVO 1 Year Fixed + Greener Electricity + Heat Pump Plus,OVO 1 Year Fixed + Greener Electricity + Heat Pump Plus,OVO 1 Year Fixed + Greener Electricity + Heat Pump Plus,OVO 1 Year Fixed + Greener Electricity + Heat Pump Plus,Octopus Cosy,Octopus Cosy,Octopus Cosy,Octopus Cosy,Octopus Cosy,Octopus Cosy,Octopus 12M Fixed august 2024 v1,Octopus 12M Fixed august 2024 v1,Octopus 12M Fixed august 2024 v1,Octopus 12M Fixed august 2024 v1,Octopus 12M Fixed august 2024 v1,Octopus 12M Fixed august 2024 v1
Start,End,Heat pump dhw consumption (kwh),Heat pump heating consumption (kwh),Total heat pump consumption (kwh),Non heat pump consumption (kwh),Total overall consumption (kwh),Heat pump dhw price (GBP),Heat pump heating price (GBP),Total heat pump price (GBP),Non heat pump price (GBP),Standing charge price (GBP),Total price (GBP),Heat pump dhw price (GBP),Heat pump heating price (GBP),Total heat pump price (GBP),Non heat pump price (GBP),Standing charge price (GBP),Total price (GBP),Heat pump dhw price (GBP),Heat pump heating price (GBP),Total heat pump price (GBP),Non heat pump price (GBP),Standing charge price (GBP),Total price (GBP),Heat pump dhw price (GBP),Heat pump heating price (GBP),Total heat pump price (GBP),Non heat pump price (GBP),Standing charge price (GBP),Total price (GBP),Heat pump dhw price (GBP),Heat pump heating price (GBP),Total heat pump price (GBP),Non heat pump price (GBP),Standing charge price (GBP),Total price (GBP)
2025-02-07 00:00:00,2025-02-08 00:00:00,0.0,6.028926194010441,6.028926194010441,19.395073805989554,25.424,0.00,0.90,0.90,4.72,0.49,6.12,0.00,0.90,0.90,4.93,0.49,6.33,0.00,0.90,0.90,4.93,0.71,6.55,0.00,1.38,1.38,4.67,0.50,6.56,0.00,1.45,1.45,4.65,0.49,6.59
2025-02-08 00:00:00,2025-02-09 00:00:00,0.0,25.081752505275922,25.081752505275922,9.758065548464991,34.83981805374092,0.00,3.76,3.76,2.38,0.49,6.63,0.00,3.76,3.76,2.48,0.49,6.74,0.00,3.76,3.76,2.48,0.71,6.95,0.00,5.86,5.86,1.74,0.50,8.10,0.00,6.02,6.02,2.34,0.49,8.85
2025-02-09 00:00:00,2025-02-10 00:00:00,0.0,18.789996786667494,18.789996786667494,13.062003213332504,31.851999999999997,0.00,2.82,2.82,3.18,0.49,6.49,0.00,2.82,2.82,3.32,0.49,6.63,0.00,2.82,2.82,3.32,0.71,6.85,0.00,4.54,4.54,3.28,0.50,8.32,0.00,4.51,4.51,3.13,0.49,8.13
2025-02-10 00:00:00,2025-02-11 00:00:00,0.0,19.151912015200864,19.151912015200864,8.433087984799137,27.584999999999997,0.00,2.87,2.87,2.05,0.49,5.42,0.00,2.87,2.87,2.14,0.49,5.51,0.00,2.87,2.87,2.14,0.71,5.73,0.00,4.59,4.59,2.07,0.50,7.16,0.00,4.59,4.59,2.02,0.49,7.11
2025-02-11 00:00:00,2025-02-12 00:00:00,1.7007696850152796,15.952075589738984,17.65284527475426,4.927452332254285,22.580297607008546,0.26,2.39,2.65,1.20,0.49,4.34,0.26,2.39,2.65,1.25,0.49,4.39,0.26,2.39,2.65,1.25,0.71,4.61,0.45,3.86,4.31,1.16,0.50,5.97,0.41,3.83,4.23,1.18,0.49,5.91
2025-02-12 00:00:00,2025-02-13 00:00:00,0.0,13.79374938780268,13.79374938780268,13.553143466787757,27.34689285459044,0.00,2.07,2.07,3.30,0.49,5.86,0.00,2.07,2.07,3.45,0.49,6.01,0.00,2.07,2.07,3.45,0.71,6.22,0.00,3.35,3.35,3.49,0.50,7.34,0.00,3.31,3.31,3.25,0.49,7.05
2025-02-13 00:00:00,2025-02-14 00:00:00,2.098355213502696,12.86626312417926,14.964618337681959,11.495381662318044,26.46,0.31,1.93,2.24,2.80,0.49,5.54,0.31,1.93,2.24,2.92,0.49,5.66,0.31,1.93,2.24,2.92,0.71,5.88,0.29,3.26,3.55,2.56,0.50,6.62,0.50,3.09,3.59,2.76,0.49,6.84
2025-02-14 00:00:00,2025-02-15 00:00:00,1.4151720166703345,11.670572930755304,13.085744947425638,12.595876348727726,25.681621296153363,0.21,1.75,1.96,3.07,0.49,5.52,0.21,1.75,1.96,3.20,0.49,5.66,0.21,1.75,1.96,3.20,0.71,5.88,0.19,2.87,3.06,3.22,0.50,6.77,0.34,2.80,3.14,3.02,0.49,6.65
2025-02-15 00:00:00,2025-02-16 00:00:00,2.014091294285142,9.2362174056922,11.250308699977344,3.758183697032804,15.008492397010148,0.30,1.39,1.69,0.92,0.49,3.09,0.30,1.39,1.69,0.96,0.49,3.13,0.30,1.39,1.69,0.96,0.71,3.35,0.26,2.27,2.53,0.90,0.50,3.93,0.48,2.22,2.70,0.90,0.49,4.09
2025-02-16 00:00:00,2025-02-17 00:00:00,2.2986154610401326,11.011921203479082,13.310536664519214,4.862463335480786,18.173000000000002,0.34,1.65,2.00,1.18,0.49,3.67,0.34,1.65,2.00,1.24,0.49,3.72,0.34,1.65,2.00,1.24,0.71,3.94,0.38,2.72,3.10,1.21,0.50,4.81,0.55,2.64,3.19,1.17,0.49,4.85
2025-02-17 00:00:00,2025-02-18 00:00:00,1.2382939453125,13.074018447816565,14.312312393129064,7.451668740242911,21.763981133371974,0.19,1.96,2.15,1.82,0.49,4.45,0.19,1.96,2.15,1.89,0.49,4.53,0.19,1.96,2.15,1.89,0.71,4.75,0.16,3.18,3.35,2.01,0.50,5.86,0.30,3.14,3.43,1.79,0.49,5.71
2025-02-18 00:00:00,2025-02-19 00:00:00,1.08173046875,13.066870539110257,14.148601007860258,4.692360240035934,18.84096124789619,0.16,1.96,2.12,1.14,0.49,3.76,0.16,1.96,2.12,1.19,0.49,3.81,0.16,1.96,2.12,1.19,0.71,4.03,0.14,3.18,3.32,1.10,0.50,4.92,0.26,3.13,3.39,1.13,0.49,5.01
2025-02-19 00:00:00,2025-02-20 00:00:00,1.2252675453803008,11.31880776989883,12.544075315279132,12.802924684720868,25.347,0.18,1.70,1.88,3.12,0.49,5.49,0.18,1.70,1.88,3.26,0.49,5.63,0.18,1.70,1.88,3.25,0.71,5.85,0.16,2.75,2.91,3.30,0.50,6.72,0.29,2.72,3.01,3.07,0.49,6.57
2025-02-20 00:00:00,2025-02-21 00:00:00,1.2947658480963908,4.700044595349129,5.99481044344552,6.938177132501423,12.93298757594694,0.19,0.71,0.90,1.69,0.49,3.08,0.19,0.71,0.90,1.76,0.49,3.16,0.19,0.71,0.90,1.76,0.71,3.37,0.17,1.17,1.34,1.70,0.50,3.54,0.31,1.13,1.44,1.66,0.49,3.59
2025-02-21 00:00:00,2025-02-22 00:00:00,1.737845358209582,3.5902887006789337,5.328134058888516,11.695428725525067,17.023562784413585,0.26,0.54,0.80,2.85,0.49,4.14,0.26,0.54,0.80,2.97,0.49,4.27,0.26,0.54,0.80,2.97,0.71,4.48,0.25,0.88,1.14,3.04,0.50,4.67,0.42,0.86,1.28,2.81,0.49,4.58
2025-02-22 00:00:00,2025-02-23 00:00:00,2.0771949365997293,5.499492062561713,7.576686999161445,4.409014691241133,11.985701690402578,0.31,0.82,1.14,1.07,0.49,2.70,0.31,0.82,1.14,1.12,0.49,2.75,0.31,0.82,1.14,1.12,0.71,2.97,0.32,1.37,1.69,1.05,0.50,3.24,0.50,1.32,1.82,1.06,0.49,3.37
2025-02-23 00:00:00,2025-02-24 00:00:00,1.5850377581966875,5.79065136207236,7.375689120269046,9.519764271791216,16.895453392060265,0.24,0.87,1.11,2.32,0.49,3.92,0.24,0.87,1.11,2.42,0.49,4.02,0.24,0.87,1.11,2.42,0.71,4.24,0.23,1.42,1.65,2.38,0.50,4.53,0.38,1.39,1.77,2.28,0.49,4.54
2025-02-24 00:00:00,2025-02-25 00:00:00,1.4539149152031077,5.369087011800404,6.823001927003511,7.002998072996489,13.825999999999997,0.22,0.81,1.02,1.71,0.49,3.22,0.22,0.81,1.02,1.78,0.49,3.30,0.22,0.81,1.02,1.78,0.71,3.51,0.19,1.35,1.54,1.88,0.50,3.92,0.35,1.29,1.64,1.68,0.49,3.81
2025-02-25 00:00:00,2025-02-26 00:00:00,1.1996213453221884,7.530262814070013,8.729884159392203,8.598037572225312,17.32792173161752,0.18,1.13,1.31,2.09,0.49,3.90,0.18,1.13,1.31,2.19,0.49,3.99,0.18,1.13,1.31,2.19,0.71,4.21,0.16,1.88,2.04,2.03,0.50,4.56,0.29,1.81,2.09,2.06,0.49,4.65
2025-02-26 00:00:00,2025-02-27 00:00:00,1.783702635479807,8.260163053319118,10.043865688798924,7.606693782013563,17.650559470812482,0.27,1.24,1.51,1.85,0.49,3.85,0.27,1.24,1.51,1.93,0.49,3.93,0.27,1.24,1.51,1.93,0.71,4.15,0.26,2.08,2.34,1.91,0.50,4.76,0.43,1.98,2.41,1.82,0.49,4.73
2025-02-27 00:00:00,2025-02-28 00:00:00,1.5065385188684417,9.86765530520626,11.3741938240747,4.771539974325993,16.14573379840069,0.23,1.48,1.71,1.16,0.49,3.36,0.23,1.48,1.71,1.21,0.49,3.41,0.23,1.48,1.71,1.21,0.71,3.63,0.24,2.39,2.63,1.10,0.50,4.23,0.36,2.37,2.73,1.14,0.49,4.36
2025-02-28 00:00:00,2025-03-01 00:00:00,1.8685709845090392,10.448309995100642,12.316880979609682,4.426756785514914,16.743637765124593,0.28,1.57,1.85,1.08,0.49,3.42,0.28,1.57,1.85,1.13,0.49,3.46,0.28,1.57,1.85,1.13,0.71,3.68,0.28,2.56,2.84,1.04,0.50,4.38,0.45,2.51,2.95,1.06,0.49,4.51
2025-03-01 00:00:00,2025-03-02 00:00:00,1.3623948189920776,11.65321514057302,13.015609959565095,6.046507841344283,19.06211780090938,0.20,1.75,1.95,1.47,0.49,3.92,0.20,1.75,1.95,1.54,0.49,3.98,0.20,1.75,1.95,1.54,0.71,4.20,0.19,2.81,3.00,1.48,0.50,4.97,0.33,2.80,3.12,1.45,0.49,5.06
2025-03-02 00:00:00,2025-03-03 00:00:00,1.6724505136850718,9.35681441831198,11.029264931997053,17.70373506800295,28.733,0.25,1.40,1.65,4.31,0.49,6.46,0.25,1.40,1.65,4.50,0.49,6.65,0.25,1.40,1.65,4.50,0.71,6.87,0.22,2.29,2.51,4.40,0.50,7.41,0.40,2.24,2.65,4.25,0.49,7.38
2025-03-03 00:00:00,2025-03-04 00:00:00,2.0446407344850352,7.294394351847828,9.339035086332862,7.778906454369685,17.117941540702553,0.31,1.09,1.40,1.89,0.49,3.79,0.31,1.09,1.40,1.98,0.49,3.87,0.31,1.09,1.40,1.98,0.71,4.09,0.32,1.81,2.12,1.88,0.50,4.50,0.49,1.75,2.24,1.87,0.49,4.60
2025-03-04 00:00:00,2025-03-05 00:00:00,1.370299206769661,7.946680798192794,9.316980004962458,5.4722540710119745,14.789234075974433,0.21,1.19,1.40,1.33,0.49,3.22,0.21,1.19,1.40,1.39,0.49,3.28,0.21,1.19,1.40,1.39,0.71,3.50,0.19,1.90,2.08,1.33,0.50,3.92,0.33,1.91,2.24,1.31,0.49,4.04
2025-03-05 00:00:00,2025-03-06 00:00:00,1.4810698888644365,7.203099208119119,8.684169096983556,3.777830903016444,12.462000000000003,0.22,1.08,1.30,0.92,0.49,2.71,0.22,1.08,1.30,0.96,0.49,2.76,0.22,1.08,1.30,0.96,0.71,2.97,0.20,1.76,1.95,0.86,0.50,3.31,0.36,1.73,2.08,0.91,0.49,3.48
2025-03-06 00:00:00,2025-03-07 00:00:00,1.8189005349199485,5.277335565594077,7.096236100514026,8.10989667579867,15.206132776312698,0.27,0.79,1.06,1.98,0.49,3.53,0.27,0.79,1.06,2.06,0.49,3.62,0.27,0.79,1.06,2.06,0.71,3.84,0.27,1.32,1.58,2.07,0.50,4.15,0.44,1.27,1.70,1.95,0.49,4.14
2025-03-07 00:00:00,2025-03-08 00:00:00,1.1906820726348972,3.2437626346055835,4.434444707240481,13.395591537902964,17.83003624514344,0.18,0.49,0.67,3.26,0.49,4.42,0.18,0.49,0.67,3.41,0.49,4.56,0.18,0.49,0.67,3.41,0.71,4.78,0.16,0.79,0.95,3.82,0.50,5.27,0.29,0.78,1.06,3.21,0.49,4.77
2025-03-08 00:00:00,2025-03-09 00:00:00,1.8205260937499999,2.1848315792380437,4.005357672988043,3.8576423270119564,7.8629999999999995,0.27,0.33,0.60,0.94,0.49,2.03,0.27,0.33,0.60,0.98,0.49,2.07,0.27,0.33,0.60,0.98,0.71,2.29,0.24,0.52,0.76,0.96,0.50,2.23,0.44,0.52,0.96,0.93,0.49,2.38
2025-03-09 00:00:00,2025-03-10 00:00:00,2.543331739574528,3.0236082700696594,5.5669400096441874,10.63287067538986,16.19981068503405,0.38,0.45,0.84,2.59,0.49,3.92,0.38,0.45,0.84,2.70,0.49,4.03,0.38,0.45,0.84,2.70,0.71,4.25,0.55,0.71,1.26,2.81,0.50,4.57,0.61,0.73,1.34,2.55,0.49,4.38
2025-03-10 00:00:00,2025-03-11 00:00:00,1.7518828125,5.494804978509084,7.246687791009084,7.643128454608458,14.889816245617538,0.26,0.82,1.09,1.86,0.49,3.44,0.26,0.82,1.09,1.94,0.49,3.52,0.26,0.82,1.09,1.94,0.71,3.74,0.25,1.38,1.63,1.95,0.50,4.08,0.42,1.32,1.74,1.83,0.49,4.06
2025-03-11 00:00:00,2025-03-12 00:00:00,1.7742187775088025,8.113897969984604,9.888116747493406,6.8977626880854555,16.785879435578863,0.27,1.22,1.48,1.68,0.49,3.66,0.27,1.22,1.48,1.75,0.49,3.73,0.27,1.22,1.48,1.75,0.71,3.95,0.23,2.00,2.23,1.68,0.50,4.42,0.43,1.95,2.37,1.65,0.49,4.52
2025-03-12 00:00:00,2025-03-13 00:00:00,1.5952354554295805,10.553048889392642,12.148284344822219,5.12355840133044,17.27184274615266,0.24,1.58,1.82,1.25,0.49,3.56,0.24,1.58,1.82,1.30,0.49,3.62,0.24,1.58,1.82,1.30,0.71,3.84,0.21,2.55,2.76,1.19,0.50,4.45,0.38,2.53,2.91,1.23,0.49,4.63
2025-03-13 00:00:00,2025-03-14 00:00:00,1.3773866648023536,9.684365367142902,11.06175203194526,6.249535476857558,17.311287508802817,0.21,1.45,1.66,1.52,0.49,3.67,0.21,1.45,1.66,1.59,0.49,3.74,0.21,1.45,1.66,1.59,0.71,3.96,0.19,2.34,2.53,1.48,0.50,4.51,0.33,2.32,2.65,1.50,0.49,4.64
2025-03-14 00:00:00,2025-03-15 00:00:00,1.24641015625,7.5032909204563225,8.74970107670632,5.459298923293678,14.209000000000001,0.19,1.13,1.31,1.33,0.49,3.13,0.19,1.13,1.31,1.39,0.49,3.19,0.19,1.13,1.31,1.39,0.71,3.41,0.16,1.83,1.99,1.39,0.50,3.88,0.30,1.80,2.10,1.31,0.49,3.90
2025-03-15 00:00:00,2025-03-16 00:00:00,1.4414705939802641,9.52986222250317,10.971332816483436,3.6205819939634925,14.591914810446927,0.22,1.43,1.65,0.88,0.49,3.02,0.22,1.43,1.65,0.92,0.49,3.06,0.22,1.43,1.65,0.92,0.71,3.28,0.21,2.29,2.49,0.88,0.50,3.87,0.35,2.29,2.63,0.87,0.49,3.99
2025-03-16 00:00:00,2025-03-17 00:00:00,2.0285742903132045,7.863096450317886,9.891670740631088,8.693037935690956,18.584708676322045,0.30,1.18,1.48,2.12,0.49,4.09,0.30,1.18,1.48,2.21,0.49,4.19,0.30,1.18,1.48,2.21,0.71,4.40,0.30,1.93,2.23,2.35,0.50,5.08,0.49,1.89,2.37,2.09,0.49,4.95
2025-03-17 00:00:00,2025-03-18 00:00:00,1.3992711227931534,7.753692713308536,9.152963836101689,4.8751030565062665,14.028066892607958,0.21,1.16,1.37,1.19,0.49,3.05,0.21,1.16,1.37,1.24,0.49,3.10,0.21,1.16,1.37,1.24,0.71,3.32,0.20,1.89,2.09,1.28,0.50,3.87,0.34,1.86,2.20,1.17,0.49,3.86
2025-03-18 00:00:00,2025-03-19 00:00:00,1.9415594029646985,7.570196960875596,9.511756363840295,8.877698341628033,18.389454705468328,0.29,1.14,1.43,2.16,0.49,4.08,0.29,1.14,1.43,2.26,0.49,4.18,0.29,1.14,1.43,2.26,0.71,4.39,0.30,1.85,2.15,2.39,0.50,5.04,0.47,1.82,2.28,2.13,0.49,4.90
2025-03-19 00:00:00,2025-03-20 00:00:00,1.575642606734155,6.7064596558844,8.282102262618556,2.9955039375549344,11.27760620017349,0.24,1.01,1.24,0.73,0.49,2.46,0.24,1.01,1.24,0.76,0.49,2.50,0.24,1.01,1.24,0.76,0.71,2.71,0.22,1.60,1.82,0.66,0.50,2.98,0.38,1.61,1.99,0.72,0.49,3.20
