Start,End,Heat pump dhw consumption (kwh),Heat pump heating consumption (kwh),Total heat pump consumption (kwh),Non heat pump consumption (kwh),Total overall consumption (kwh),OVO Extended Fixed 15M + Heat Pump Plus --- Heat pump dhw price (GBP),OVO Extended Fixed 15M + Heat Pump Plus --- Heat pump heating price (GBP),OVO Extended Fixed 15M + Heat Pump Plus --- Total heat pump price (GBP),OVO Extended Fixed 15M + Heat Pump Plus --- Non heat pump price (GBP),OVO Extended Fixed 15M + Heat Pump Plus --- Total price ignoring standing charge (GBP),OVO 1 Year Fixed + Heat Pump Plus --- Heat pump dhw price (GBP),OVO 1 Year Fixed + Heat Pump Plus --- Heat pump heating price (GBP),OVO 1 Year Fixed + Heat Pump Plus --- Total heat pump price (GBP),OVO 1 Year Fixed + Heat Pump Plus --- Non heat pump price (GBP),OVO 1 Year Fixed + Heat Pump Plus --- Total price ignoring standing charge (GBP),OVO 1 Year Fixed + Greener Electricity + Heat Pump Plus --- Heat pump dhw price (GBP),OVO 1 Year Fixed + Greener Electricity + Heat Pump Plus --- Heat pump heating price (GBP),OVO 1 Year Fixed + Greener Electricity + Heat Pump Plus --- Total heat pump price (GBP),OVO 1 Year Fixed + Greener Electricity + Heat Pump Plus --- Non heat pump price (GBP),OVO 1 Year Fixed + Greener Electricity + Heat Pump Plus --- Total price ignoring standing charge (GBP),Octopus Cosy --- Heat pump dhw price (GBP),Octopus Cosy --- Heat pump heating price (GBP),Octopus Cosy --- Total heat pump price (GBP),Octopus Cosy --- Non heat pump price (GBP),Octopus Cosy --- Total price ignoring standing charge (GBP),Octopus 12M Fixed august 2024 v1 --- Heat pump dhw price (GBP),Octopus 12M Fixed august 2024 v1 --- Heat pump heating price (GBP),Octopus 12M Fixed august 2024 v1 --- Total heat pump price (GBP),Octopus 12M Fixed august 2024 v1 --- Non heat pump price (GBP),Octopus 12M Fixed august 2024 v1 --- Total price ignoring standing charge (GBP)
2025-02-07 00:00:00,2025-02-07 01:00:00,0.0,0.0,0.0,0.506,0.506,0.00,0.00,0.00,0.12,0.12,0.00,0.00,0.00,0.13,0.13,0.00,0.00,0.00,0.13,0.13,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.00,0.12,0.12
2025-02-07 01:00:00,2025-02-07 02:00:00,0.0,0.0,0.0,0.536,0.536,0.00,0.00,0.00,0.13,0.13,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.00,0.13,0.13
2025-02-07 02:00:00,2025-02-07 03:00:00,0.0,0.0,0.0,0.546,0.546,0.00,0.00,0.00,0.13,0.13,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.00,0.15,0.15,0.00,0.00,0.00,0.13,0.13
2025-02-07 03:00:00,2025-02-07 04:00:00,0.0,0.0,0.0,0.567,0.567,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.00,0.15,0.15,0.00,0.00,0.00,0.14,0.14
2025-02-07 04:00:00,2025-02-07 05:00:00,0.0,0.0,0.0,0.572,0.572,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.00,0.15,0.15,0.00,0.00,0.00,0.15,0.15,0.00,0.00,0.00,0.08,0.08,0.00,0.00,0.00,0.14,0.14
2025-02-07 05:00:00,2025-02-07 06:00:00,0.0,0.0,0.0,0.562,0.562,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.00,0.07,0.07,0.00,0.00,0.00,0.13,0.13
2025-02-07 06:00:00,2025-02-07 07:00:00,0.0,0.0,0.0,0.888,0.888,0.00,0.00,0.00,0.22,0.22,0.00,0.00,0.00,0.23,0.23,0.00,0.00,0.00,0.23,0.23,0.00,0.00,0.00,0.12,0.12,0.00,0.00,0.00,0.21,0.21
2025-02-07 07:00:00,2025-02-07 08:00:00,0.0,0.0,0.0,0.536,0.536,0.00,0.00,0.00,0.13,0.13,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.00,0.13,0.13
2025-02-07 08:00:00,2025-02-07 09:00:00,0.0,0.0,0.0,0.41900000000000004,0.41900000000000004,0.00,0.00,0.00,0.10,0.10,0.00,0.00,0.00,0.11,0.11,0.00,0.00,0.00,0.11,0.11,0.00,0.00,0.00,0.11,0.11,0.00,0.00,0.00,0.10,0.10
2025-02-07 09:00:00,2025-02-07 10:00:00,0.0,0.0,0.0,0.192,0.192,0.00,0.00,0.00,0.05,0.05,0.00,0.00,0.00,0.05,0.05,0.00,0.00,0.00,0.05,0.05,0.00,0.00,0.00,0.05,0.05,0.00,0.00,0.00,0.05,0.05
