Consumption (kwh), Estimated Cost Inc. Tax (p), Start, End
0.250000, 6.00, 2025-02-07T00:00:00+00:00, 2025-02-07T00:30:00+00:00
0.256000, 6.14, 2025-02-07T00:30:00+00:00, 2025-02-07T01:00:00+00:00
0.281000, 6.74, 2025-02-07T01:00:00+00:00, 2025-02-07T01:30:00+00:00
0.255000, 6.12, 2025-02-07T01:30:00+00:00, 2025-02-07T02:00:00+00:00
0.272000, 6.53, 2025-02-07T02:00:00+00:00, 2025-02-07T02:30:00+00:00
0.274000, 6.57, 2025-02-07T02:30:00+00:00, 2025-02-07T03:00:00+00:00
0.287000, 6.89, 2025-02-07T03:00:00+00:00, 2025-02-07T03:30:00+00:00
0.280000, 6.72, 2025-02-07T03:30:00+00:00, 2025-02-07T04:00:00+00:00
0.285000, 6.84, 2025-02-07T04:00:00+00:00, 2025-02-07T04:30:00+00:00
0.287000, 6.89, 2025-02-07T04:30:00+00:00, 2025-02-07T05:00:00+00:00
0.288000, 6.91, 2025-02-07T05:00:00+00:00, 2025-02-07T05:30:00+00:00
0.274000, 6.57, 2025-02-07T05:30:00+00:00, 2025-02-07T06:00:00+00:00
0.278000, 6.67, 2025-02-07T06:00:00+00:00, 2025-02-07T06:30:00+00:00
0.610000, 14.64, 2025-02-07T06:30:00+00:00, 2025-02-07T07:00:00+00:00
0.309000, 7.41, 2025-02-07T07:00:00+00:00, 2025-02-07T07:30:00+00:00
0.227000, 5.45, 2025-02-07T07:30:00+00:00, 2025-02-07T08:00:00+00:00
0.321000, 7.70, 2025-02-07T08:00:00+00:00, 2025-02-07T08:30:00+00:00
0.098000, 2.35, 2025-02-07T08:30:00+00:00, 2025-02-07T09:00:00+00:00
0.087000, 2.09, 2025-02-07T09:00:00+00:00, 2025-02-07T09:30:00+00:00
0.105000, 2.52, 2025-02-07T09:30:00+00:00, 2025-02-07T10:00:00+00:00
0.263000, 6.31, 2025-02-07T10:00:00+00:00, 2025-02-07T10:30:00+00:00
0.095000, 2.28, 2025-02-07T10:30:00+00:00, 2025-02-07T11:00:00+00:00
0.071000, 1.70, 2025-02-07T11:00:00+00:00, 2025-02-07T11:30:00+00:00
0.069000, 1.66, 2025-02-07T11:30:00+00:00, 2025-02-07T12:00:00+00:00
0.079000, 1.90, 2025-02-07T12:00:00+00:00, 2025-02-07T12:30:00+00:00
0.089000, 2.14, 2025-02-07T12:30:00+00:00, 2025-02-07T13:00:00+00:00
0.169000, 4.06, 2025-02-07T13:00:00+00:00, 2025-02-07T13:30:00+00:00
0.181000, 4.34, 2025-02-07T13:30:00+00:00, 2025-02-07T14:00:00+00:00
0.803000, 19.27, 2025-02-07T14:00:00+00:00, 2025-02-07T14:30:00+00:00
1.792000, 43.00, 2025-02-07T14:30:00+00:00, 2025-02-07T15:00:00+00:00
1.946000, 46.69, 2025-02-07T15:00:00+00:00, 2025-02-07T15:30:00+00:00
1.942000, 46.60, 2025-02-07T15:30:00+00:00, 2025-02-07T16:00:00+00:00
1.624000, 38.97, 2025-02-07T16:00:00+00:00, 2025-02-07T16:30:00+00:00
0.226000, 5.42, 2025-02-07T16:30:00+00:00, 2025-02-07T17:00:00+00:00
1.704000, 40.89, 2025-02-07T17:00:00+00:00, 2025-02-07T17:30:00+00:00
